A,output
"[@JeffreeStar, :, HI, PART, 2, !, !, !, !, \xf0\x9f\x92\x9a\xf0\x9f\x92\x97, ALL, Jeffree, Star, Approved, ,, created, ., \xf0\x9f\x94\xa5\nLaunching, 8.13.\nWho\xe2\x80\x99s, ready, \xf0\x9f\x8d\x93#MorpheXJeffreeStar, https\xe2\x80\xa6, ']",random
"[@lizzo, :, maskoffchallenge, ChallengeAccepted, @1future, tour, flute, shaderoom, Buddhataughtme, https://t.co/hln0jilyQT, ']",random
"[b'I, guess, I, wait, female, soulmate, I\xe2\x80\x99ll, let, baby, find, ., ']",random
"[xforever4ubaby1, m, MTVHottest, Lady, Gaga, ']",random
"[b'If, boo, Wilf, today, knob, ']",random
"[@NameisNani, :, Wall, poster, cinema, team, proud, today, ., 2, national, awards, debut, production, ., ask, ., Thank, u, a\xe2\x80\xa6, ']",random
"[@ayosworIdd, :, I, data, https://t.co/2MckCtSKAS, ']",random
"[@scifi_fan_kat, :, Halo, 4, magical, ., https://t.co/I6eCo0HdWz, ']",random
"[@InvertoPhiles, :, If, I, describe, terrestrial, isopods, word, ', tidy, ', ., Ferntree, Gully, ,, SE, ., Australia, ., Leaf, litter, ,, und\xe2\x80\xa6, ""]",random
"[@uncensoredIII, :, Strongest, Woman, Ever, \xf0\x9f\x92\xaa\xf0\x9f\x92\xaa\xf0\x9f\x92\xaa\xf0\x9f\x92\xaa\xf0\x9f\x92\xaa\xf0\x9f\x92\xaa\xf0\x9f\x8f\x86\xf0\x9f\x8f\x86\xf0\x9f\x8f\x86, https://t.co/qQJfBoqKEN, ']",random
"[b'Cleared, :, Disabled, Tractor, Trailer, :, SB, I-95, MM178, Fairfax, Co.4:10AM, ']",random
"[b'@yungicyp, What\xe2\x80\x99s, good, ']",random
"[@NikoAintShit, :, My, dad, died, day, wanted, come, "", Take, mind, "", https://t.co/j4CSq4RD9k, ']",random
"[b'\xef\xbc\xac\xef\xbc\xaf\xef\xbc\xb6\xef\xbc\xa5\xef\xbd\x9eWinter\xef\xbd\x9e, https://t.co/LLmuSlg3Pm, ']",random
"[b'@maryissha, ya, true, :), ']",random
"[@thechrisbarron, :, My, stepmom, told, I\xe2\x80\x99d, janitor, [, wrong, ], live, basement, school, play, guitar, for\xe2\x80\xa6, ']",random
"[b""#datascience, R, wordcloud, Kirsten, Gillibrand, 's, Last, 67, tweets, https://t.co/XhBAkFzee5, ""]",random
"[b'Bouta, watch, Disturbia, bootleg, 2019, wyo, ., ']",random
"[b'@bangtanistr, Evet, ']",random
"[@simongerman600, :, Global, population, 2100:\n\nGrowth, dominated, Africa\nTotal, population, grows, 2100\nFrom, 2100, world\xe2\x80\xa6, ']",random
"[@Tinyiko19145860, :, This, My, uncle, \nPlease, retweet, reaches, interested, work, https://t.co/zi0JbwnmkI, ']",random
"[b'@farizazfar, money, talkssssss, ']",random
"[@circolocoibiza, :, Ferragosto, D'Italia, -, Rimini, Beach, Arena, -, Day, Night, \xf0\x9f\x87\xae\xf0\x9f\x87\xb9\nTickets, :, https://t.co/hg0O9iYpsx\n#circoloco, italia, https:/\xe2\x80\xa6, ""]",random
"[b'@BenjaminNorton, @shipismine247, @neiltyson, Again, like, rest, ignore, Gilroy, shooter, ,, radicalization\xe2\x80\xa6, https://t.co/YSAXm9IkdR, ']",random
"[b'Method, Man, -, Is, https://t.co/sW8pM8nM7e, ']",random
"[b'Bobby, calm, bebeh, ']",random
"[b'@matt77roberts, You\xe2\x80\x99d, swear, speeded, footage, !, \xf0\x9f\x98\xb3\xf0\x9f\x99\x88\xf0\x9f\x99\x88, ']",random
"[@BTS_twt, :, Say, hello, \xe2\x98\xba\xef\xb8\x8f\n#JIMIN\n#Babybear, https://t.co/dEVS9aP5Sv, ']",random
"[b'@mcguirekate, @GardenMuseumLDN, @jayrayner1, Have, meaning, excuse, !, ']",random
"[@DexStable, :, Dear, All, ,, The, stableDEX, Loyalty, Reward, Program, open, Registration, !, https://t.co/P3t5BGF2RY\n\n#Rewards, IEO, Stable\xe2\x80\xa6, ']",random
"[b'Morning, \xe2\x9d\xa4, https://t.co/OXqiPQsEMp, ']",random
"[@SenatorDurbin, :, White, supremacists, responsible, incident, race, -, based, domestic, terrorism, U.S., 2018, ., Every, singl\xe2\x80\xa6, ']",random
"[b'Off, s&amp;r, ']",random
"[b'@Montrell, _, _, Wassup, ']",random
"[@SparkNotes, :, GETTING, OLDER\n-, unfortunate\n\nACQUIRING, ETERNAL, YOUTH, IN, EXCHANGE, FOR, A, PORTRAIT, IN, THE, ATTIC, THAT, BEARS, THE, MARKS, OF, YOUR, S\xe2\x80\xa6, ']",random
"[@BTS_twt, :, Say, hello, \xe2\x98\xba\xef\xb8\x8f\n#JIMIN\n#Babybear, https://t.co/dEVS9aP5Sv, ']",random
"[b'@BTS_twt, Hello, \xf0\x9f\x92\x9c, ']",random
"[b'Machine, -, gun, childbirth, pains, ., ']",random
"[@youngposthk, :, 11:58, The, Cheng, family, said, today\xe2\x80\x99s, demonstration, different, previous, antiEALB, protests, young, participants\xe2\x80\xa6, ']",random
"[b'the, type, energy, I, NEED, https://t.co/XzP5CHyq1k, ']",random
"[@blvcksnow_twt, :, @BTS_twt, BabyBear\xf0\x9f\x90\xbb,                , WinterBear\xf0\x9f\x90\xbb, https://t.co/oCmtBKtCgx, ']",random
"[@Charoneds, :, If, bad, energy, ,, I\xe2\x80\x99, m, removing, life, idccccc, ,, it\xe2\x80\x99s, called, SELFCARE\xf0\x9f\x92\x95, ']",random
"[@migerucb, :, Btw, ,, 's, amazing, people, compare, Messi, 's, lows, players, ', high, ., Do, n't, remember, happening, anyo\xe2\x80\xa6, ""]",random
"[b'@CityofLpoolFC, Season, 2019/20, starts, today, @FA, cup, v, Campion, FC, Bradford, ., Please, best, t\xe2\x80\xa6, https://t.co/KtkHYX3Epx, ']",random
"[b'@PIBHomeAffairs, Why, immediately, fake, news, channel, banned, ., ']",random
"[@Taefvckg, :, Giveaway\n\n, -, MOTS, :, Persona, Set, \n, -, AB, V.3\n, -, Wings, Set\n, -, Koya, Headband, \n, -, Candy, Bong\n\n, -, rt, \n, -, follow, me!\n, -, comment, Jimin, smiling, +, \xe2\x80\xa6, ']",random
"[b""Ever, regret, bubble, bath, solution, I, n't, ""]",random
"[@Ms_Oklahoma, :, I, hoping, bust, ole, Goodnight, Goodbye, routine, HappinessBeginsTour, @jonasbrothers\xe2\x80\xa6, ']",random
"[@IragiFalah, :, @UNHCRCanada, @Hanialmoulia, @RyersonU, Iraqis, faced, crises, ,, world, knows, crises.\nBut, catastro\xe2\x80\xa6, ']",random
"[b'@joonurl, Weird, ...., ']",random
"[@loriperrynicks, :, Gillian, Anderson,  , dildos, thread, \n\nHappy, birthday, @GillianA, https://t.co/aUcWUbZULp, ']",random
"[@HeyVirtueMoir, :, imagine, having, guts, ms, ., t*ssa, jane, mccormick, v*rtue\xe2\x80\x942-time, olympic, champion, ,, 5-time, olympic, medalist, ,, 3-time\xe2\x80\xa6, ']",random
"[@Texas_Tulips, :, We\xe2\x80\x99ve, got, excited, news, !, Texas, -, Tulips, going, open, it\xe2\x80\x99s, second, location, near, ....., SAN, ANTONIO, !, \xf0\x9f\x98\x8d\n\nTexas, -, Tulips, b\xe2\x80\xa6, ']",random
"[@factsionary, :, You, n't, better, tomorrow, 're, thinking, yesterday, ""]",random
"[b'@LeytherMatt, @Leigh_Wigan, I, reckon, we\xe2\x80\x99ll, PirLowe, ., You, know, ,, 2, ']",random
"[@KingLRG, _, :, No, :, \n\nMe, headphones, volume, listening, 3, songs, :, https://t.co/vuNAbym0Xi, ']",random
